issue_id,district,sector,cell,date_reported,date_resolved,assigned_department,assigned_level,Description,status,escalated,is_overdue,feedback_rating,feedback_comment,,,,latitude,longitude
ISS-1031,Nyarugenge,Nyamirambo,Rwezamenyo II,30/05/2025,10/06/2025,public Safety,District,Health post has no medicines in the residential area for almost a year.,Resolved,No,No,4,Took longer than expected.,,,,-1.993611,30.044167
ISS-1032,Nyarugenge,Kigali,Kiyovu,21/06/2025,06/07/2025,public Safety,Cell,Health post has no medicines at the football field since this morning.,Resolved,No,No,3,Service was quick and effective.,,,,-1.967222,30.055556
ISS-1033,Gasabo,Kimironko,Kibagabaga,18/05/2025,27/05/2025,Health and Services ,Cell,Garbage collection delay near the health post for over a month.,Resolved,No,No,3,Very satisfied with the outcome.,,,,-1.93429,30.1179
ISS-1034,Gasabo,Remera,Rukiri I,02/08/2025,12/08/2025,Education,Sector,Garbage collection delay in the village center for several weeks.,Resolved,No,No,5,"Poor handling, not happy.",,,,-1.9527,30.116
ISS-1035,Nyarugenge,Nyamirambo,Rwezamenyo II,27/01/2025,01/02/2025,Water & sanitation,District,Blocked drainage causing floods near the health post since yesterday.,Resolved,No,No,5,Service was quick and effective.,,,,-1.993611,30.044167
ISS-1036,Gasabo,Remera,Rukiri I,03/07/2025,25/07/2025,Social services,Cell,Unfinished construction causing hazards near the river since last week.,Resolved,No,No,3,Good communication throughout.,,,,-1.9527,30.116
ISS-1037,Kicukiro,Gikondo,Kanserege,12/01/2025,,public Safety,Sector,Illegal dumping of waste by the primary school for 1 week.,Open,No,No,,,,,,-1.9732,30.081
ISS-1038,Nyarugenge,Kigali,Kiyovu,20/04/2025,24/04/2025,Social services,District,Poor internet connectivity in public offices near the river since yesterday.,Resolved,No,No,4,"Poor handling, not happy.",,,,-1.967222,30.055556
ISS-1039,Gasabo,Remera,Rukiri I,21/04/2025,,Social services,Cell,Poor internet connectivity in public offices behind the local office since last week.,In Progress,No,No,,,,,,-1.9527,30.116
ISS-1040,Kicukiro,Kigarama,Kigarama II,27/01/2025,14/02/2025,Education,District,Water shortage in the area near the health post since last week.,Resolved,No,No,4,Good communication throughout.,,,,-1.9875,30.0646
ISS-1041,Nyarugenge,Nyamirambo,Mumena,07/01/2025,,Education,Sector,Unsafe pedestrian crossing without signs at the main road for 1 week.,In Progress,No,No,,,,,,-1.993611,30.044167
ISS-1042,Kicukiro,Kigarama,Kigarama II,10/01/2025,18/01/2025,Health and Services ,Sector,Flooding in homes after rain at the main road for over a month.,Resolved,No,No,3,The issue is still not fully fixed.,,,,-1.9875,30.0646
ISS-1043,Kicukiro,Gikondo,Kanserege,19/02/2025,28/02/2025,Health and Services ,District,Broken streetlight in the residential area for almost a year.,Resolved,No,No,3,Very satisfied with the outcome.,,,,-1.9732,30.081
ISS-1044,Kicukiro,Gikondo,Gikondo,30/01/2025,08/02/2025,Water & sanitation,Cell,Noise pollution from nearby bars at the football field for over a month.,Resolved,No,No,3,Good communication throughout.,,,,-1.969161,30.080966
ISS-1045,Kicukiro,Kigarama,Kigarama I,06/07/2025,20/07/2025,public Safety,Sector,Electricity blackout in the neighborhood next to the bus stop since the rainy season began.,Resolved,No,No,5,Good communication throughout.,,,,-1.9875,30.0646
ISS-1046,Gasabo,Kimironko,Kibagabaga,01/07/2025,18/07/2025,Water & sanitation,Cell,Blocked drainage causing floods in the village center for 3 days.,Resolved,No,No,2,Very satisfied with the outcome.,,,,-1.93429,30.1179
ISS-1047,Kicukiro,Kigarama,Kigarama III,19/06/2025,13/07/2025,Social services,Sector,Illegal dumping of waste near the market for 2 months now.,Resolved,No,No,3,Good communication throughout.,,,,-1.9875,30.0646
ISS-1048,Kicukiro,Gikondo,Rwimbogo,02/02/2025,,Water & sanitation,District,Broken streetlight by the primary school since the rainy season began.,Escalated,Yes,Yes,,,,,,-1.969161,30.080966
ISS-1049,Kicukiro,Kigarama,Kigarama III,21/05/2025,31/05/2025,Water & sanitation,Sector,Lack of waste bins in public areas near the health post since this morning.,Resolved,No,No,4,Took longer than expected.,,,,-1.9875,30.0646
ISS-1050,Kicukiro,Gikondo,Rwimbogo,24/02/2025,22/03/2025,public Safety,District,Damaged bridge making crossing difficult near the river for 2 months now.,Resolved,No,No,2,"Poor handling, not happy.",,,,-1.969161,30.080966
ISS-1051,Gasabo,Kimironko,Kibagabaga,29/07/2025,06/08/2025,Water & sanitation,Cell,Public toilet not functioning near the market for almost a year.,Resolved,No,No,5,Very satisfied with the outcome.,,,,-1.93429,30.1179
ISS-1052,Gasabo,Remera,Nyabisindu,02/05/2025,27/05/2025,Health and Services ,Cell,Blocked drainage causing floods near the river for several weeks.,Resolved,No,No,1,The issue is still not fully fixed.,,,,-1.9527,30.116
ISS-1053,Kicukiro,Kigarama,Kigarama III,04/03/2025,,public Safety,Sector,School lacks enough desks next to the bus stop for 3 days.,Escalated,Yes,Yes,,,,,,-1.9875,30.0646
ISS-1054,Gasabo,Remera,Rukiri I,13/05/2025,31/05/2025,Education,District,Noise pollution from nearby bars next to the bus stop for several weeks.,Resolved,No,No,2,Service was quick and effective.,,,,-1.9527,30.116
ISS-1055,Kicukiro,Kigarama,Kigarama II,23/03/2025,21/04/2025,Social services,District,Blocked drainage causing floods in the village center for over a month.,Resolved,No,No,4,Good communication throughout.,,,,-1.9875,30.0646
ISS-1056,Nyarugenge,Kigali,Muhima,09/08/2025,18/08/2025,Education,District,Noise pollution from nearby bars next to the bus stop for 3 days.,Resolved,No,No,3,"Poor handling, not happy.",,,,-1.9359,30.0534
ISS-1057,Kicukiro,Gikondo,Gikondo,20/01/2025,28/01/2025,Water & sanitation,Sector,Public transport shortage during rush hours behind the local office since yesterday.,Resolved,No,No,4,Very satisfied with the outcome.,,,,-1.969161,30.080966
ISS-1058,Kicukiro,Kigarama,Kigarama I,27/06/2025,,Education,Sector,Open sewage causing bad smell next to the bus stop since this morning.,Open,No,No,,,,,,-1.9875,30.0646
ISS-1059,Gasabo,Kimironko,Nyagatovu,17/04/2025,,Social services,Sector,Damaged bridge making crossing difficult at the football field since last week.,In Progress,No,No,,,,,,-1.93429,30.1179
ISS-1060,Kicukiro,Kigarama,Kigarama III,01/04/2025,14/04/2025,public Safety,Cell,Unsafe pedestrian crossing without signs next to the bus stop since yesterday.,Resolved,No,No,4,Good communication throughout.,,,,-1.9875,30.0646
ISS-1061,Nyarugenge,Nyamirambo,Rwezamenyo I,05/05/2025,,Water & sanitation,Sector,Water shortage in the area next to the bus stop since last week.,In Progress,No,No,,,,,,-1.993611,30.044167
ISS-1062,Nyarugenge,Kigali,Muhima,09/06/2025,09/07/2025,public Safety,Cell,Noise pollution from nearby bars at the football field for almost a year.,Resolved,No,No,4,Good communication throughout.,,,,-1.9359,30.0534
ISS-1063,Nyarugenge,Nyamirambo,Mumena,16/02/2025,,Education,Sector,Blocked drainage causing floods by the primary school for over a month.,In Progress,No,No,,,,,,-1.993611,30.044167
ISS-1064,Kicukiro,Kigarama,Kigarama II,13/03/2025,09/04/2025,Water & sanitation,Sector,Overgrown bushes blocking footpaths near the health post for 1 week.,Resolved,No,No,4,Very satisfied with the outcome.,,,,-1.9875,30.0646
ISS-1065,Gasabo,Kimironko,Bibare,27/02/2025,24/03/2025,Health and Services ,Sector,Water shortage in the area behind the local office for 3 days.,Resolved,No,No,1,Service was quick and effective.,,,,-1.93429,30.1179
ISS-1066,Gasabo,Remera,Nyabisindu,02/02/2025,06/02/2025,Education,Cell,Public toilet not functioning behind the local office for almost a year.,Resolved,No,No,4,The issue is still not fully fixed.,,,,-1.9527,30.116
ISS-1067,Nyarugenge,Kigali,Nyarugenge,11/07/2025,05/08/2025,Social services,District,Garbage collection delay near the health post since this morning.,Resolved,No,No,2,Very satisfied with the outcome.,,,,-1.967222,30.055556
ISS-1068,Gasabo,Remera,Rukiri I,03/07/2025,,public Safety,Sector,Road full of potholes in the village center since this morning.,Escalated,Yes,Yes,,,,,,-1.9527,30.116
ISS-1069,Nyarugenge,Nyamirambo,Mumena,23/07/2025,18/08/2025,Social services,Cell,Electricity blackout in the neighborhood near the market since last week.,Resolved,No,No,1,Very satisfied with the outcome.,,,,-1.993611,30.044167
ISS-1070,Nyarugenge,Kigali,Muhima,15/06/2025,13/07/2025,Health and Services ,District,Poor internet connectivity in public offices at the main road since the rainy season began.,Resolved,No,No,4,The issue is still not fully fixed.,,,,-1.9359,30.0534
ISS-1071,Gasabo,Kimironko,Nyagatovu,15/02/2025,08/03/2025,Education,Sector,Lack of waste bins in public areas near the market for over a month.,Resolved,No,No,3,Good communication throughout.,,,,-1.93429,30.1179
ISS-1072,Nyarugenge,Kigali,Nyarugenge,24/03/2025,20/04/2025,Social services,Sector,Broken streetlight by the primary school since last week.,Resolved,No,No,1,Very satisfied with the outcome.,,,,-1.967222,30.055556
ISS-1073,Kicukiro,Kigarama,Kigarama II,08/04/2025,24/04/2025,Social services,District,Public transport shortage during rush hours behind the local office since the rainy season began.,Resolved,No,No,3,Took longer than expected.,,,,-1.9875,30.0646
ISS-1074,Kicukiro,Kigarama,Kigarama II,02/06/2025,11/06/2025,Water & sanitation,Sector,Damaged bridge making crossing difficult near the river since this morning.,Resolved,No,No,5,Service was quick and effective.,,,,-1.9875,30.0646
ISS-1075,Nyarugenge,Nyamirambo,Mumena,23/05/2025,15/06/2025,public Safety,Sector,Water shortage in the area behind the local office since last week.,Resolved,No,No,4,"Poor handling, not happy.",,,,-1.993611,30.044167
ISS-1076,Nyarugenge,Kigali,Nyarugenge,26/02/2025,06/03/2025,Health and Services ,Sector,Overgrown bushes blocking footpaths at the football field for 3 days.,Resolved,No,No,4,"Poor handling, not happy.",,,,-1.967222,30.055556
ISS-1077,Nyarugenge,Kigali,Nyarugenge,19/04/2025,07/05/2025,Social services,Sector,Garbage collection delay at the football field for 2 months now.,Resolved,No,No,3,Very satisfied with the outcome.,,,,-1.967222,30.055556
ISS-1078,Nyarugenge,Kigali,Nyarugenge,31/01/2025,11/02/2025,Water & sanitation,Cell,Road full of potholes behind the local office for 3 days.,Resolved,No,No,3,"Poor handling, not happy.",,,,-1.967222,30.055556
ISS-1079,Nyarugenge,Nyamirambo,Mumena,05/07/2025,30/07/2025,public Safety,Sector,Poor internet connectivity in public offices by the primary school for 3 days.,Resolved,No,No,3,Service was quick and effective.,,,,-1.993611,30.044167
ISS-1080,Gasabo,Kimironko,Bibare,04/01/2025,09/01/2025,Education,Sector,Blocked drainage causing floods behind the local office for 1 week.,Resolved,No,No,5,Service was quick and effective.,,,,-1.93429,30.1179
ISS-1081,Gasabo,Kimironko,Kibagabaga,04/01/2025,20/01/2025,public Safety,Cell,Water shortage in the area in the residential area since the rainy season began.,Resolved,No,No,4,The issue is still not fully fixed.,,,,-1.93429,30.1179
ISS-1082,Kicukiro,Kigarama,Kigarama I,30/07/2025,,public Safety,Cell,Broken streetlight near the river for several weeks.,In Progress,No,No,,,,,,-1.9875,30.0646
ISS-1083,Gasabo,Remera,Nyabisindu,22/01/2025,26/01/2025,Social services,Sector,Health post has no medicines behind the local office since the rainy season began.,Resolved,No,No,5,Good communication throughout.,,,,-1.9527,30.116
ISS-1084,Nyarugenge,Nyamirambo,Rwezamenyo II,18/03/2025,01/04/2025,public Safety,Sector,Blocked drainage causing floods near the health post for 1 week.,Resolved,No,No,4,Good communication throughout.,,,,-1.993611,30.044167
ISS-1085,Nyarugenge,Nyamirambo,Rwezamenyo II,24/02/2025,27/02/2025,Education,District,Overgrown bushes blocking footpaths next to the bus stop for several weeks.,Resolved,No,No,4,Took longer than expected.,,,,-1.993611,30.044167
ISS-1086,Gasabo,Remera,Nyabisindu,26/06/2025,06/07/2025,public Safety,Sector,School lacks enough desks near the river since the rainy season began.,Resolved,No,No,3,Took longer than expected.,,,,-1.9527,30.116
ISS-1087,Kicukiro,Gikondo,Gikondo,01/03/2025,27/03/2025,Health and Services ,District,Broken streetlight next to the bus stop for 3 days.,Resolved,No,No,2,The issue is still not fully fixed.,,,,-1.969161,30.080966
ISS-1088,Gasabo,Remera,Rukiri II,19/01/2025,,Water & sanitation,Cell,Health post has no medicines near the river since last week.,In Progress,No,Yes,,,,,,-1.9527,30.116
ISS-1089,Nyarugenge,Kigali,Nyarugenge,19/03/2025,28/03/2025,public Safety,District,Water shortage in the area at the football field for over a month.,Resolved,No,No,5,Good communication throughout.,,,,-1.967222,30.055556
ISS-1090,Kicukiro,Gikondo,Kanserege,08/07/2025,17/07/2025,Health and Services ,Sector,Noise pollution from nearby bars next to the bus stop for 2 months now.,Resolved,No,No,3,Service was quick and effective.,,,,-1.9732,30.081
ISS-1091,Gasabo,Remera,Rukiri II,15/07/2025,31/07/2025,Social services,Cell,Garbage collection delay in the residential area since last week.,Resolved,No,No,4,Very satisfied with the outcome.,,,,-1.9527,30.116
ISS-1092,Gasabo,Kimironko,Kibagabaga,31/03/2025,11/04/2025,Health and Services ,Sector,Overgrown bushes blocking footpaths near the river for 3 days.,Resolved,No,No,5,Service was quick and effective.,,,,-1.93429,30.1179
ISS-1093,Gasabo,Kimironko,Nyagatovu,13/04/2025,01/05/2025,Water & sanitation,District,Unfinished construction causing hazards in the residential area for 1 week.,Resolved,No,No,1,The issue is still not fully fixed.,,,,-1.93429,30.1179
ISS-1094,Gasabo,Kimironko,Nyagatovu,12/05/2025,13/05/2025,Health and Services ,Sector,Unfinished construction causing hazards near the market for 2 months now.,Resolved,No,No,5,The issue is still not fully fixed.,,,,-1.93429,30.1179
ISS-1095,Gasabo,Remera,Rukiri II,10/06/2025,12/06/2025,Social services,Sector,Road full of potholes near the health post since last week.,Resolved,No,No,4,Very satisfied with the outcome.,,,,-1.9527,30.116
ISS-1096,Nyarugenge,Nyamirambo,Rwezamenyo I,08/01/2025,28/01/2025,public Safety,Cell,Broken streetlight at the main road for 2 months now.,Resolved,No,No,2,"Poor handling, not happy.",,,,-1.993611,30.044167
ISS-1097,Gasabo,Kimironko,Kibagabaga,24/01/2025,20/02/2025,Social services,Sector,Illegal dumping of waste at the football field since the rainy season began.,Resolved,No,No,1,The issue is still not fully fixed.,,,,-1.93429,30.1179
ISS-1098,Gasabo,Remera,Rukiri I,11/03/2025,27/03/2025,Social services,District,School lacks enough desks near the health post since last week.,Resolved,No,No,4,Took longer than expected.,,,,-1.9527,30.116
ISS-1099,Kicukiro,Kigarama,Kigarama II,11/07/2025,08/08/2025,Social services,District,Water shortage in the area near the market for almost a year.,Resolved,No,No,1,Very satisfied with the outcome.,,,,-1.9875,30.0646
ISS-1100,Kicukiro,Gikondo,Gikondo,05/07/2025,24/07/2025,Health and Services ,Sector,Noise pollution from nearby bars at the football field since yesterday.,Resolved,No,No,4,Took longer than expected.,,,,-1.969161,30.080966
ISS-1101,Kicukiro,Gikondo,Rwimbogo,07/04/2025,18/04/2025,Social services,District,School lacks enough desks next to the bus stop for several weeks.,Resolved,No,No,3,"Poor handling, not happy.",,,,-1.969161,30.080966
ISS-1102,Gasabo,Kimironko,Bibare,10/07/2025,09/08/2025,Health and Services ,Sector,Open sewage causing bad smell in the residential area since the rainy season began.,Resolved,No,No,4,The issue is still not fully fixed.,,,,-1.93429,30.1179
ISS-1103,Nyarugenge,Nyamirambo,Rwezamenyo I,01/06/2025,05/06/2025,Education,District,Unsafe pedestrian crossing without signs near the market for 1 week.,Resolved,No,No,5,Service was quick and effective.,,,,-1.993611,30.044167
ISS-1104,Nyarugenge,Kigali,Kiyovu,09/02/2025,,public Safety,District,Damaged bridge making crossing difficult in the residential area for 2 months now.,In Progress,No,Yes,,,,,,-1.967222,30.055556
ISS-1105,Kicukiro,Gikondo,Gikondo,08/08/2025,19/08/2025,Water & sanitation,District,Water shortage in the area in the village center for 3 days.,Resolved,No,No,5,"Poor handling, not happy.",,,,-1.969161,30.080966
ISS-1106,Kicukiro,Kigarama,Kigarama III,25/06/2025,03/07/2025,Education,District,Health post has no medicines at the main road for over a month.,Resolved,No,No,5,Service was quick and effective.,,,,-1.9875,30.0646
ISS-1107,Kicukiro,Kigarama,Kigarama III,27/06/2025,28/06/2025,public Safety,Cell,Open sewage causing bad smell next to the bus stop for over a month.,Resolved,No,No,4,Very satisfied with the outcome.,,,,-1.9875,30.0646
ISS-1108,Gasabo,Kimironko,Nyagatovu,04/03/2025,23/03/2025,public Safety,Cell,Flooding in homes after rain near the market for 3 days.,Resolved,No,No,2,Took longer than expected.,,,,-1.93429,30.1179
ISS-1109,Gasabo,Remera,Rukiri II,03/03/2025,22/03/2025,Social services,District,Lack of waste bins in public areas in the residential area for several weeks.,Resolved,No,No,2,Took longer than expected.,,,,-1.9527,30.116
ISS-1110,Kicukiro,Gikondo,Rwimbogo,15/03/2025,21/03/2025,Health and Services ,Sector,Damaged bridge making crossing difficult in the residential area for 3 days.,Resolved,No,No,4,The issue is still not fully fixed.,,,,-1.969161,30.080966
ISS-1111,Kicukiro,Gikondo,Gikondo,05/08/2025,18/08/2025,Water & sanitation,Sector,Poor internet connectivity in public offices at the football field for almost a year.,Resolved,No,No,4,Service was quick and effective.,,,,-1.969161,30.080966
ISS-1112,Gasabo,Kimironko,Kibagabaga,29/06/2025,26/07/2025,Social services,Sector,Unsafe pedestrian crossing without signs in the village center for 2 months now.,Resolved,No,No,4,Very satisfied with the outcome.,,,,-1.93429,30.1179
ISS-1113,Gasabo,Remera,Rukiri II,05/06/2025,13/06/2025,Water & sanitation,Cell,Flooding in homes after rain near the market since this morning.,Resolved,No,No,5,Took longer than expected.,,,,-1.9527,30.116
ISS-1114,Nyarugenge,Kigali,Muhima,15/06/2025,,Health and Services ,District,Unfinished construction causing hazards next to the bus stop for 1 week.,In Progress,No,No,,,,,,-1.9359,30.0534
ISS-1115,Gasabo,Kimironko,Kibagabaga,25/03/2025,31/03/2025,Health and Services ,Sector,Overgrown bushes blocking footpaths at the football field since last week.,Resolved,No,No,4,Took longer than expected.,,,,-1.93429,30.1179
ISS-1116,Nyarugenge,Kigali,Muhima,07/03/2025,23/03/2025,Water & sanitation,Cell,Illegal dumping of waste at the football field for 3 days.,Resolved,No,No,3,"Poor handling, not happy.",,,,-1.9359,30.0534
ISS-1117,Kicukiro,Kigarama,Kigarama II,09/08/2025,31/08/2025,Education,Cell,Illegal dumping of waste in the residential area for several weeks.,Resolved,No,No,4,Good communication throughout.,,,,-1.9875,30.0646
ISS-1118,Kicukiro,Kigarama,Kigarama II,01/02/2025,23/02/2025,Water & sanitation,District,Unsafe pedestrian crossing without signs near the market for 1 week.,Resolved,No,No,3,Good communication throughout.,,,,-1.9875,30.0646
ISS-1119,Kicukiro,Gikondo,Kanserege,08/06/2025,26/06/2025,public Safety,Cell,Unsafe pedestrian crossing without signs next to the bus stop since last week.,Resolved,No,No,3,Good communication throughout.,,,,-1.9732,30.081
ISS-1120,Gasabo,Remera,Rukiri II,15/04/2025,,Water & sanitation,District,Open sewage causing bad smell near the health post for 3 days.,Open,No,No,,,,,,-1.9527,30.116
ISS-1121,Gasabo,Kimironko,Nyagatovu,18/05/2025,,Health and Services ,Cell,Unfinished construction causing hazards in the residential area for 3 days.,In Progress,No,No,,,,,,-1.93429,30.1179
ISS-1122,Kicukiro,Gikondo,Gikondo,26/01/2025,15/02/2025,public Safety,District,Unfinished construction causing hazards behind the local office for almost a year.,Resolved,No,No,4,Very satisfied with the outcome.,,,,-1.969161,30.080966
ISS-1123,Gasabo,Kimironko,Bibare,07/08/2025,29/08/2025,public Safety,Cell,Public transport shortage during rush hours in the residential area since yesterday.,Resolved,No,No,3,Good communication throughout.,,,,-1.93429,30.1179
ISS-1124,Nyarugenge,Kigali,Kiyovu,01/02/2025,28/02/2025,Water & sanitation,Cell,Illegal dumping of waste near the health post since the rainy season began.,Resolved,No,No,4,Service was quick and effective.,,,,-1.967222,30.055556
ISS-1125,Nyarugenge,Nyamirambo,Rwezamenyo II,21/07/2025,26/07/2025,Health and Services ,Cell,Poor internet connectivity in public offices by the primary school for 1 week.,Resolved,No,No,4,Service was quick and effective.,,,,-1.993611,30.044167
ISS-1126,Nyarugenge,Nyamirambo,Rwezamenyo II,18/07/2025,,Education,Sector,Electricity blackout in the neighborhood near the market since the rainy season began.,Escalated,Yes,Yes,,,,,,-1.993611,30.044167
ISS-1127,Gasabo,Kimironko,Bibare,24/07/2025,,Social services,Sector,Flooding in homes after rain near the market since this morning.,Escalated,Yes,Yes,,,,,,-1.93429,30.1179
ISS-1128,Gasabo,Remera,Nyabisindu,24/03/2025,,Education,District,Unfinished construction causing hazards behind the local office since the rainy season began.,In Progress,No,No,,,,,,-1.9527,30.116
ISS-1129,Gasabo,Remera,Rukiri II,10/07/2025,,Social services,Cell,Flooding in homes after rain in the residential area for 2 months now.,In Progress,No,No,,,,,,-1.9527,30.116
ISS-1130,Kicukiro,Kigarama,Kigarama II,12/01/2025,11/02/2025,Education,District,Blocked drainage causing floods next to the bus stop since last week.,Resolved,No,No,3,The issue is still not fully fixed.,,,,-1.9875,30.0646
ISS-1131,Nyarugenge,Nyamirambo,Mumena,25/06/2025,,public Safety,Sector,Unsafe pedestrian crossing without signs behind the local office since yesterday.,Escalated,Yes,No,,,,,,-1.993611,30.044167
ISS-1132,Kicukiro,Kigarama,Kigarama I,17/01/2025,,Social services,Cell,Public transport shortage during rush hours in the residential area for 1 week.,Escalated,Yes,No,,,,,,-1.9875,30.0646
